"function_name","key","value","inference_id"
"generate_response","tensorzero::variant_pinned","gpt_4o","0198aa12-c0ed-7b13-b372-61603452624c"
"generate_response","tensorzero::variant_pinned","gpt_4o","0198ae8f-bc29-7942-8b8a-f492e4f77fb9"
"generate_response","tensorzero::variant_pinned","gpt_4o","0198ae97-d41f-7542-a208-b7d042445889"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini","0198aef5-1044-75a0-b5f7-3540cf08aa04"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini","0198aef5-6129-7442-9663-ab07811d63eb"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af0e-aa32-7aa1-8e1c-98ef5e849dfe"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af0f-c73e-7cd2-8627-65b07279c274"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af10-da06-7102-b3bc-803c0c09b4cc"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af11-ad99-7ef1-8db1-3a5e91f10828"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af1a-2873-7c83-a7d4-1d67a5c474d4"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af1d-35ad-7651-a729-7f3192ce9ffe"
"generate_response","tensorzero::variant_pinned","gpt_4o_mini_dicl","0198af20-d22f-7733-927f-fdc539da6cb2"
