"function_name","variant_name","episode_id","inference_id","function_type","key","value"
"generate_response","gpt_4o_mini_dicl","0198af20-c9d0-7263-992f-b3dc65f3c9cd","0198af20-d22f-7733-927f-fdc539da6cb2","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
"generate_response","gpt_4o","0198ae8f-bc2a-7f93-8503-4cd73bfbe0e4","0198ae8f-bc29-7942-8b8a-f492e4f77fb9","chat","tensorzero::variant_pinned","gpt_4o"
"generate_response","gpt_4o","0198ae97-d41f-7542-a208-b7e0f28798d8","0198ae97-d41f-7542-a208-b7d042445889","chat","tensorzero::variant_pinned","gpt_4o"
"generate_response","gpt_4o","0198aa12-c0ed-7b13-b372-617898002e7a","0198aa12-c0ed-7b13-b372-61603452624c","chat","tensorzero::variant_pinned","gpt_4o"
"generate_response","gpt_4o_mini","0198aef5-557d-7872-850b-f27257a0e8e8","0198aef5-6129-7442-9663-ab07811d63eb","chat","tensorzero::variant_pinned","gpt_4o_mini"
"generate_response","gpt_4o_mini","0198aef5-0aee-71d3-9bbe-d1d02923ef47","0198aef5-1044-75a0-b5f7-3540cf08aa04","chat","tensorzero::variant_pinned","gpt_4o_mini"
"generate_response","gpt_4o_mini_dicl","0198af0f-bde9-7300-a458-ba5279f254c5","0198af0f-c73e-7cd2-8627-65b07279c274","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
"generate_response","gpt_4o_mini_dicl","0198af11-a2ab-7623-af38-3333cfe2591d","0198af11-ad99-7ef1-8db1-3a5e91f10828","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
"generate_response","gpt_4o_mini_dicl","0198af0e-a44a-7751-ab79-581c25c606ff","0198af0e-aa32-7aa1-8e1c-98ef5e849dfe","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
"generate_response","gpt_4o_mini_dicl","0198af1d-2f8c-7902-a4c9-001e6d3d9c23","0198af1d-35ad-7651-a729-7f3192ce9ffe","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
"generate_response","gpt_4o_mini_dicl","0198af1a-2350-7d40-8d83-4e759239c8c3","0198af1a-2873-7c83-a7d4-1d67a5c474d4","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
"generate_response","gpt_4o_mini_dicl","0198af10-cd26-7af1-8ac3-6eace6816662","0198af10-da06-7102-b3bc-803c0c09b4cc","json","tensorzero::variant_pinned","gpt_4o_mini_dicl"
