"migration_id","migration_name","gateway_version","gateway_git_sha","config_hash","execution_time_ms","applied_at"
"0","Migration0000","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",103,"2025-08-14 15:17:54"
"3","Migration0003","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",70,"2025-08-14 15:17:55"
"4","Migration0004","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",6,"2025-08-14 15:17:55"
"5","Migration0005","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",64,"2025-08-14 15:17:55"
"6","Migration0006","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",49,"2025-08-14 15:17:55"
"8","Migration0008","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",44,"2025-08-14 15:17:55"
"9","Migration0009","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",81,"2025-08-14 15:17:55"
"11","Migration0011","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",23,"2025-08-14 15:17:55"
"15","Migration0015","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",23,"2025-08-14 15:17:55"
"16","Migration0016","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",33,"2025-08-14 15:17:56"
"17","Migration0017","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",6,"2025-08-14 15:17:56"
"18","Migration0018","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",14,"2025-08-14 15:17:56"
"19","Migration0019","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",15,"2025-08-14 15:17:56"
"20","Migration0020","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",63,"2025-08-14 15:17:56"
"21","Migration0021","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",52,"2025-08-14 15:17:56"
"22","Migration0022","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",14,"2025-08-14 15:17:56"
"24","Migration0024","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",7,"2025-08-14 15:17:56"
"25","Migration0025","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",30,"2025-08-14 15:17:56"
"26","Migration0026","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",41,"2025-08-14 15:17:57"
"27","Migration0027","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",63,"2025-08-14 15:17:57"
"28","Migration0028","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",64,"2025-08-14 15:17:57"
"30","Migration0030","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",15,"2025-08-14 15:17:57"
"31","Migration0031","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",15,"2025-08-14 15:17:57"
"32","Migration0032","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",14,"2025-08-14 15:17:57"
"33","Migration0033","2025.7.2","e9bb30cf5dbf3f8283c09561d6cf5175a526928e","",77,"2025-08-14 15:17:57"
